Price,Close,High,Low,Open,Volume
Ticker,EGEEN.IS,EGEEN.IS,EGEEN.IS,EGEEN.IS,EGEEN.IS
Date,,,,,
2020-01-02,488.4803161621094,501.2130467303126,486.54090862205624,489.57649855723696,19032
2020-01-03,477.8556213378906,486.54082860904145,466.7250409620528,486.119216105914,16089
2020-01-06,473.04931640625,486.5409190132019,468.83319059157753,476.422217057988,24458
2020-01-07,476.0848693847656,481.3972286712548,474.73572981553457,474.73572981553457,13763
2020-01-08,474.0611267089844,481.0598842318793,470.35091595482777,472.2060213319061,12811
2020-01-09,492.6120910644531,497.50278612631854,477.26538465677334,477.26538465677334,37568
2020-01-10,486.2878723144531,496.659529617608,484.85437950785155,491.6001795705695,19886
2020-01-13,496.3222961425781,501.0443877999842,488.22735539613643,488.22735539613643,26437
2020-01-14,504.5859069824219,508.4647217525249,498.3460208221264,498.3460208221264,22469
2020-01-15,505.17608642578125,512.6808096536411,501.9718416587201,505.9350095266194,14986
2020-01-16,501.2973327636719,510.9944216228514,499.5265806020246,505.93507091371424,14599
2020-01-17,504.2485656738281,508.8020014019129,498.1773351918389,502.5621156214073,14437
2020-01-20,502.140625,509.89830741754207,501.38170170563797,506.0194404755792,10849
2020-01-21,506.0193176269531,509.3079158156223,501.7188905799591,504.83883347011715,10457
2020-01-22,505.091796875,509.2236201404928,502.983734283702,505.9350219115192,11245
2020-01-23,521.7877807617188,521.872134167577,503.6584376659165,505.93515616192224,23886
2020-01-24,549.8671264648438,558.1307745097532,520.2699428472803,520.2699428472803,52100
2020-01-27,553.66162109375,559.3112399756004,545.3980247947826,547.2531304455009,29278
2020-01-28,547.5903930664062,556.6972137290635,546.8314699001952,554.7578063187603,23052
2020-01-29,558.7208251953125,562.3467336138958,548.3491687166013,548.9394364684428,21826
2020-01-30,550.6259155273438,558.8052081799058,546.4940925118774,558.8052081799058,15197
2020-01-31,569.0083618164062,569.1770171518018,550.3731052488039,552.396814874403,17678
2020-02-03,596.8347778320312,608.4712751343035,566.4786710610351,569.1770019561776,49613
2020-02-04,599.5331420898438,613.8679710849595,591.9441149747825,601.2195925598573,57576
2020-02-05,597.1719970703125,602.4843046486777,595.5698488716813,600.629199225624,27951
2020-02-06,601.38818359375,610.6636601869991,597.0877044752348,597.0877044752348,22839
2020-02-07,597.0877075195312,604.5924319334293,596.834750268065,601.5568419830767,10349
2020-02-10,601.3037719726562,617.4094015593669,594.1363589355601,599.4487180067418,35469
2020-02-11,614.9641723632812,615.4701383995556,598.7742370638257,602.0628361672599,26294
2020-02-12,603.3275756835938,624.9984716443303,598.7741394315063,616.481867019704,43527
2020-02-13,591.9440307617188,606.194555792533,590.0046232903901,603.7491823723514,41669
2020-02-14,593.546142578125,594.4736695611035,583.5117437394094,593.4617891919802,26210
2020-02-17,588.2338256835938,595.316937308948,584.3550107012761,594.4737121852809,18864
2020-02-18,578.3681640625,587.4749855953506,568.4180658941837,586.4631050991717,37241
2020-02-19,591.8597412109375,593.208880836666,579.1270108277226,581.066418339599,27254
2020-02-20,573.39306640625,591.9440185546874,569.1769409179688,591.9440185546874,30677
2020-02-21,591.9440307617188,596.8347261357055,567.912114982931,573.2244229144403,27790
2020-02-24,592.9558715820312,602.5686063715643,586.8846408660048,591.2694214646002,23925
2020-02-25,588.5711059570312,599.5330319992108,586.8846557966959,596.1601316785402,17750
2020-02-26,588.065185546875,591.1850771388363,581.8252994302044,586.8846498600323,12865
2020-02-27,572.5498046875,606.2788064363954,570.6103973802129,586.8003285129572,45772
2020-02-28,561.587890625,567.2375088269646,462.9305584881757,462.9305584881757,23970
2020-03-02,551.047607421875,583.6804293558948,549.4454591320322,579.2956485062405,21701
2020-03-03,559.0582275390625,564.5391905541513,552.9869966752276,552.9869966752276,15801
2020-03-04,552.6497802734375,567.3218669074215,552.3124696290973,560.0701512515145,8887
2020-03-05,541.603515625,564.9608630939513,540.0857206144415,560.7447372499665,11919
2020-03-06,525.3292236328125,546.5785058932573,515.88509246524,533.845776334692,23378
2020-03-09,485.69769287109375,517.7402489980061,472.2060902913411,507.6215470631917,28992
2020-03-10,456.4377136230469,513.6083622647927,452.6432008618729,499.10493243962645,30007
2020-03-11,456.4377136230469,456.4377136230469,456.4377136230469,456.4377136230469,0
2020-03-12,420.01043701171875,436.7906117368239,414.61380139558486,424.22656260763404,25120
2020-03-13,439.32025146484375,450.7037896505931,410.2289872123733,417.39640014414135,27295
2020-03-16,395.80987548828125,421.6125699136334,393.87046795995417,421.6125699136334,31675
2020-03-17,377.7648620605469,400.53194080080306,355.9253361193093,395.21963272135224,31665
2020-03-18,365.2851257324219,395.47257419427467,362.24951020817366,364.3575729704032,38133
2020-03-19,344.8790283203125,363.092693642301,344.5417434637023,355.8409534258481,33055
2020-03-20,347.9147033691406,355.5880574101672,342.8553524497635,342.93968011172433,30743
2020-03-23,330.5442199707031,343.1925957348882,326.66537958971577,343.1925957348882,33316
2020-03-24,363.76727294921875,363.85160059889154,337.2900121426573,337.2900121426573,41831
2020-03-25,368.2364196777344,393.70180282589246,357.27449313320045,371.019052276533,52663
2020-03-26,387.1246337890625,389.90726621963876,361.7435541006325,369.3325797111353,47596
2020-03-27,389.90728759765625,394.7136810411099,370.5974376321738,389.99161525570054,55814
2020-03-30,406.2658386230469,425.6600157195089,389.2327072217189,390.8348297482674,55878
2020-03-31,417.90234375,422.4557539150216,409.47009317285386,414.44511586673275,35431
2020-04-01,411.49383544921875,417.3964109577116,409.80738530393506,417.3964109577116,25754
2020-04-02,406.7718200683594,415.7100120874662,401.6281413441685,412.3371113808742,19665
2020-04-03,406.0129089355469,409.30148186751467,402.2183957679249,408.79554163186054,12482
2020-04-06,415.20404052734375,415.79430839976567,406.8561170546223,409.0485074952331,31889
2020-04-07,449.0173645019531,456.77504569366573,417.6493805758655,417.6493805758655,74298
2020-04-08,482.240478515625,485.6976810056766,447.3309371067907,450.7038376693301,109805
2020-04-09,483.16802978515625,505.8508077909419,477.26545350505836,484.8544801508985,108401
2020-04-10,477.6027526855469,484.93877042709937,470.8569513847136,483.33667349797923,39556
2020-04-13,483.5895690917969,496.5752555266698,469.339045074295,473.0492559032224,46542
2020-04-14,482.9150695800781,490.8413553709255,481.9031890735243,487.38415272877876,33355
2020-04-15,466.7251281738281,484.8544691959371,459.55771428136643,483.84258870607835,35063
2020-04-16,465.7132568359375,470.51965065743474,455.3415974104207,467.2310518673628,31783
2020-04-17,477.8556213378906,490.75695364031566,460.40085341514146,467.5682659683076,65993
2020-04-20,485.9506530761719,489.49220906813196,479.0361964187983,479.0361964187983,38808
2020-04-21,482.9993591308594,485.9506471772708,477.43409368703516,485.9506471772708,23917
2020-04-22,487.9743347167969,493.708254622382,479.8793435562313,484.43277930069763,42523
2020-04-24,487.8787536621094,494.23065105580366,487.4436914692786,491.6202778988188,37736
2020-04-27,490.7501525878906,495.10077450799605,488.1397794358274,490.7501525878907,44504
2020-04-28,489.0098571777344,494.3175941707361,487.2696085756784,491.7942655626585,25584
2020-04-29,485.0942077636719,490.75001467033354,479.43840085701027,489.0097663913607,28261
2020-04-30,479.4384765625,489.00984360821235,473.34760662431944,487.2695950544465,32231
2020-05-04,468.5619201660156,478.4813581036063,456.8152425016865,478.4813581036063,21576
