Price,Close,High,Low,Open,Volume
Ticker,YBTAS.IS,YBTAS.IS,YBTAS.IS,YBTAS.IS,YBTAS.IS
Date,,,,,
2020-01-02,3239.5,3239.5,3133.0,3133.0,36
2020-01-03,3197.0,3500.0,2920.0,3500.0,55
2020-01-06,3200.199951171875,3200.199951171875,3095.0,3096.89990234375,18
2020-01-07,3235.60009765625,3235.60009765625,3200.300048828125,3200.300048828125,25
2020-01-08,3210.0,3226.699951171875,3150.0,3226.699951171875,14
2020-01-09,3455.0,3455.0,3250.10009765625,3250.10009765625,27
2020-01-10,3300.0,3448.39990234375,3300.0,3448.39990234375,16
2020-01-13,3450.10009765625,3450.10009765625,3325.10009765625,3325.10009765625,9
2020-01-14,3469.89990234375,3479.89990234375,3469.89990234375,3479.89990234375,3
2020-01-15,3419.89990234375,3449.89990234375,3419.89990234375,3449.89990234375,21
2020-01-16,3375.0,3410.0,3375.0,3410.0,40
2020-01-17,3400.10009765625,3400.10009765625,3400.10009765625,3400.10009765625,2
2020-01-20,3400.0,3403.10009765625,3400.0,3400.199951171875,24
2020-01-21,3389.89990234375,3400.0,3389.89990234375,3400.0,17
2020-01-22,3389.699951171875,3389.800048828125,3389.699951171875,3389.800048828125,4
2020-01-23,3389.60009765625,3389.60009765625,3389.60009765625,3389.60009765625,1
2020-01-24,3549.39990234375,3549.39990234375,3480.0,3480.0,28
2020-01-27,3544.89990234375,3544.89990234375,3500.0,3500.0,23
2020-01-28,3904.300048828125,3904.300048828125,3550.10009765625,3550.10009765625,100
2020-01-29,3899.800048828125,3950.10009765625,3899.800048828125,3950.0,53
2020-01-30,3839.0,3839.0,3839.0,3839.0,15
2020-01-31,3725.10009765625,3754.0,3725.10009765625,3754.0,13
2020-02-03,3646.39990234375,3717.699951171875,3646.39990234375,3717.699951171875,4
2020-02-04,3561.0,3600.0,3540.0,3600.0,22
2020-02-05,3740.10009765625,3740.10009765625,3561.0,3561.0,32
2020-02-06,3739.89990234375,3799.89990234375,3650.0,3799.89990234375,24
2020-02-07,3610.0,3699.0,3610.0,3699.0,15
2020-02-10,3617.699951171875,3679.800048828125,3617.699951171875,3679.800048828125,27
2020-02-11,3602.60009765625,3610.0,3600.0,3610.0,9
2020-02-12,3640.10009765625,3650.0,3640.10009765625,3649.5,9
2020-02-13,3660.10009765625,3660.10009765625,3640.10009765625,3640.10009765625,8
2020-02-14,3700.0,3700.10009765625,3699.0,3699.0,10
2020-02-17,3879.0,3879.0,3796.5,3796.5,16
2020-02-18,4050.0,4050.0,3955.699951171875,3955.699951171875,49
